timestamp,startTime,endTime,stepcount,heartrate,sleep,meanSpeed,distance,exerciseType,liveData/0/speed,liveData/0/start_time,liveData/1/speed,liveData/1/start_time,liveData/2/speed,liveData/2/start_time,liveData/3/speed,liveData/3/start_time,liveData/4/speed,liveData/4/start_time,liveData/5/speed,liveData/5/start_time,liveData/6/speed,liveData/6/start_time,liveData/7/speed,liveData/7/start_time
1489092274129,,,14,,,,,,,,,,,,,,,,,,,,,
1489092274255,,,52,,,,,,,,,,,,,,,,,,,,,
1489092348795,,,51,,,,,,,,,,,,,,,,,,,,,
1489092348819,,,45,,,,,,,,,,,,,,,,,,,,,
1489092349057,,,12,,,,,,,,,,,,,,,,,,,,,
1489092367508,,,58,,,,,,,,,,,,,,,,,,,,,
1489092491249,,,54,,,,,,,,,,,,,,,,,,,,,
1489092491355,,,7,,,,,,,,,,,,,,,,,,,,,
1489092577456,,,52,,,,,,,,,,,,,,,,,,,,,
1489092612462,,,77,,,,,,,,,,,,,,,,,,,,,
1489092638941,,,21,,,,,,,,,,,,,,,,,,,,,
1489092639079,,,26,,,,,,,,,,,,,,,,,,,,,
1489092755836,,,15,,,,,,,,,,,,,,,,,,,,,
1489092815418,,,22,,,,,,,,,,,,,,,,,,,,,
1489092815454,,,61,,,,,,,,,,,,,,,,,,,,,
1489092825294,,,13,,,,,,,,,,,,,,,,,,,,,
1489092825461,,,55,,,,,,,,,,,,,,,,,,,,,
1489092883660,,,33,,,,,,,,,,,,,,,,,,,,,
1489092899258,,,26,,,,,,,,,,,,,,,,,,,,,
1489092904417,,,51,,,,,,,,,,,,,,,,,,,,,
1489092971448,,,38,,,,,,,,,,,,,,,,,,,,,
1489092981947,,,6,,,,,,,,,,,,,,,,,,,,,
1489093126295,,,6,,,,,,,,,,,,,,,,,,,,,
1489093126387,,,45,,,,,,,,,,,,,,,,,,,,,
1489093265660,,,44,,,,,,,,,,,,,,,,,,,,,
1489093265672,,,1,,,,,,,,,,,,,,,,,,,,,
