stepcount,timestamp
96,1490637911842
45,1490638211467
8,1490638211829
26,1490632367760
99,1490632367782
40,1490632502614
58,1490632582190
17,1490632672932
38,1490632748951
35,1490632926094
80,1490632926106
2,1490632926117
64,1490632926129
35,1490632982960
41,1490633695384
53,1490633695599
75,1490633695705
91,1490633695725
90,1490633767768
43,1490633767823
100,1490634020003
104,1490634020027
96,1490634020045
97,1490634020093
102,1490634126878
92,1490634126895
97,1490634214923
93,1490634305854
99,1490634305877
79,1490634446790
103,1490634446801
99,1490634559002
78,1490634559017
63,1490634786763
104,1490634786837
92,1490634786860
92,1490634786885
87,1490634845794
7,1490635120902
16,1490635121036
19,1490635374008
15,1490636099611
105,1490636099627
104,1490636099640
104,1490636099652
76,1490636099663
35,1490636099676
110,1490636099689
109,1490636099702
108,1490636099728
108,1490636223694
106,1490636223768
104,1490636223784
89,1490636383854
17,1490636383870
15,1490636929423
19,1490637150912
16,1490637246989
61,1490637333869
44,1490637423930
43,1490637580764
24,1490637580864
31,1490637782812
37,1490637782831
41,1490637783323
65,1490637957082
53,1490637957096
32,1490638245108
20,1490638245122
64,1490638288988
73,1490638341885
12,1490638381827
7,1490638486708
36,1490638594998
18,1490638595018
53,1490638707736
38,1490638707767
20,1490638844737
45,1490639000052
39,1490639000066
20,1490639279875
48,1490639279897
22,1490639317847
47,1490639384882
16,1490639655783
38,1490639655832
64,1490639911737
21,1490639949014
24,1490640117008
30,1490640169845
19,1490640367914
60,1490640455433
51,1490640504482
22,1490640748907
17,1490640963775
64,1490640963798
65,1490641121015
26,1490641142133
15,1490641622809
24,1490641631050
29,1490641758702
16,1490642264539
27,1490642672010
13,1490642672056
46,1490642672068
15,1490642672860
41,1490642742840
26,1490642848847
17,1490642903937
53,1490642977680
77,1490643000271
49,1490643038688
94,1490643062753
51,1490643121982
10,1490643320912
40,1490643061807
39,1490643283443
23,1490643283476
50,1490643408067
40,1490643420372
28,1490643641193
76,1490643641382
104,1490643641607
94,1490643697883
70,1490643746295
25,1490644500176
22,1490644778716
13,1490644844223
44,1490644909162
35,1490644953441
20,1490645043098
46,1490643402986
23,1490643592889
34,1490643592912
80,1490643592923
77,1490643797742
100,1490643797846
32,1490643797884
23,1490644500541
19,1490645024230
58,1490645024244
28,1490645029268
